unidade,municipio,sup,area,bloco,tipo,geracao_t,geradora,destino,modalidade,plano_pgrs,lat,lon
ETA PONTA NEGRA,Maricá,Leste,Agrupado/Municipal,B1,Estação de Tratamento de Água,0.0,Não,Cop Service Soluções Ambientais,Agrupado,AGR · Maricá (Leste/B1),-22.9370826,-42.6750137
ETA PORTO DAS CAIXAS,Itaboraí,Leste,Leste Metropolitano,B1,Estação de Tratamento de Água,115.5,Sim,ECO ITA GESTÃO DE RESÍDUOS LTDA,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7024565,-42.8782179
ETA RIO CACERIBU,Tanguá,Leste,Leste Metropolitano,B1,Estação de Tratamento de Água,27.3,Sim,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7272978,-42.7259454
ETA SAMPAIO CORREA,Saquarema,Leste,Lagos e Litoral,B1,Estação de Tratamento de Água,0.0,Não,Cop Service Soluções Ambientais,Agrupado,AGR · Lagos e Litoral (Leste/B1),-22.8627,-42.5999
ETE APOLO,São Gonçalo,Leste,Leste Metropolitano,B1,Estação de Tratamento de Esgoto,18.5,Sim,Regenera Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7810491,-42.942791
ETE GRANDE RIO 1,Itaboraí,Leste,Leste Metropolitano,B1,Estação de Tratamento de Esgoto,40.1,Sim,Ciclus Ambiental Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7306441,-42.941919
ETE JARDIM CATARINA,São Gonçalo,Leste,Leste Metropolitano,B1,Estação de Tratamento de Esgoto,25.2,Sim,ETE ALEGRIA - AGUAS DO RIO 4 SPE S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8126055,-42.9994556
ETE PINHÃO,Tanguá,Leste,Leste Metropolitano,B1,Estação de Tratamento de Esgoto,36.0,Sim,ETE ALEGRIA - AGUAS DO RIO 4 SPE S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7375755,-42.7391858
ETE SÃO GONÇALO II,São Gonçalo,Leste,Leste Metropolitano,B1,Estação de Tratamento de Esgoto,6782.4,Sim,Ciclus Ambiental Rio S.A.,Individualizado,IND · ETE SÃO GONÇALO II,-22.805495,-43.0625474
BASE VCG SÃO GONÇALO,São Gonçalo,Leste,Leste Metropolitano,B1,Base Operacional,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8155893,-43.0175567
EEAB BARRAGEM UBATIBA,Maricá,Leste,Agrupado/Municipal,B1,Estação Elevatória de Água Bruta,0.0,Não,,Agrupado,AGR · Maricá (Leste/B1),-22.9088758,-42.8171914
EEAB CAPTAÇÃO JACONÉ,Saquarema,Leste,Lagos e Litoral,B1,Estação Elevatória de Água Bruta,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Leste/B1),-22.8910332,-42.6413296
EEAB CAPTAÇÃO PONTA NEGRA,Maricá,Leste,Agrupado/Municipal,B1,Estação Elevatória de Água Bruta,0.0,Não,,Agrupado,AGR · Maricá (Leste/B1),-22.9535,-42.6953
EEAT INOÃ,São Gonçalo,Leste,Leste Metropolitano,B1,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8738652,-42.9800956
ESTAÇÃO ELEVATÓRIA DE ESGOTO PAQUETÁ 5,Rio de Janeiro,Leste,RJ – Capital,B4,Estação Elevatória de Esgoto,5.8,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Leste (Leste/B4),-22.9068467,-43.1728965
LOJA COMERCIAL SÃO GONÇALO,São Gonçalo,Leste,Leste Metropolitano,B1,Loja,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8218453,-42.9998863
LOJA COMERCIAL SAQUAREMA,Saquarema,Leste,Lagos e Litoral,B1,Loja,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Leste/B1),-22.9157633,-42.6338568
LOJA COMERCIAL TANGUÁ,Tanguá,Leste,Leste Metropolitano,B1,Loja,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7354434,-42.7206234
SEDE ADMINISTRATIVA MARICÁ,Maricá,Leste,Agrupado/Municipal,B1,Sede Administrativa,0.0,Não,,Agrupado,AGR · Maricá (Leste/B1),-22.9087976,-42.8044784
SEDE ADMNISTRATIVA CENTRO I,São Gonçalo,Leste,Leste Metropolitano,B1,Sede Administrativa,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8280755,-43.0541707
RESERVATÓRIO GUAICURUS,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Reservatório de Água,40.0,Sim,Bravo Administração de Imovés Ltda,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9098238,-43.2022455
SEDE ARMAZÉM 2,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Sede Administrativa,20.0,Sim,CICLUS AMBIENTAL RIO S/A,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.8955966,-43.1817378
EEE ANDRÉ AZEVEDO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Esgoto,695.1,Sim,Regenera Rio S.A.,Individualizado,IND · EEE ANDRÉ AZEVEDO,-22.9832412,-43.1928154
EEE SATURNINO BRITO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Esgoto,103.5,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9761977,-43.2254557
EEE CAIÇARAS,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Esgoto,5.0,Sim,VALCIR TADEU PRIMO DA SILVA,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9808365,-43.2062829
EEE SÃO CONRADO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Esgoto,32.3,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9959119,-43.2557555
BASE OPERACIONAL BOTAFOGO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Base Operacional,3087.4,Sim,Associação carioca de catadores e ex catadores,Individualizado,IND · BASE OPERACIONAL BOTAFOGO,-22.9494654,-43.1788759
BASE OPERACIONAL GÁVEA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Base Operacional,2498.1,Sim,VALCIR TADEU PRIMO DA SILVA,Individualizado,IND · BASE OPERACIONAL GÁVEA,-22.9755427,-43.2261457
LOJA DE ATENDIMENTO CENTRO RJ,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Loja,0.0,Não,SOLVÍ ESSENCIS AMBIENTAL S.A.,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9098352,-43.2012186
EEE LEBLON,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Esgoto,125.8,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9889204,-43.2277363
BASE OPERACIONAL AMOROSO LIMA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Base Operacional,84.3,Sim,VALCIR TADEU PRIMO DA SILVA,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9098238,-43.2022455
LOJA DE ATENDIMENTO COPACABANA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Loja,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9835234,-43.1930589
EEAT MARACANÃ,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9143087,-43.2382526
BASE OPERACIONAL TIJUCA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Base Operacional,3910.2,Sim,Associação carioca de catadores e ex catadores,Individualizado,IND · BASE OPERACIONAL TIJUCA,-22.9054106,-43.2518743
LOJA DE ATENDIMENTO TIJUCA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Loja,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9326856,-43.2422096
RESERVATÓRIO DO FRANÇA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Reservatório de Água,40.0,Sim,Bravo Administração de Imovés Ltda,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9294843,-43.1935754
UT AFONSO VISEU,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Unidade de Tratamento de Água,21.6,Sim,ETR JARDIM GRAMACHO,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9588857,-43.2778518
RESERVATÓRIO FRANCISCO SÁ,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Reservatório de Água,40.0,Sim,ENDOMAQ SERVIÇOS E EMPREENDIMENTOS LTDA,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.9299091,-43.2482875
ETE ALEGRIA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação de Tratamento de Água,9422.6,Sim,Regenera Rio S.A.,Individualizado,IND · ETE ALEGRIA,-22.87321,-43.22726
RESERVATÓRIO PEDREGULHO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Reservatório de Água,80.3,Sim,VALCIR TADEU PRIMO DA SILVA,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8955679,-43.2326827
ETE ILHA DO GOVERNADOR,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Estação de Tratamento de Esgoto,2029.0,Sim,ETE ALEGRIA - AGUAS DO RIO 4 SPE S.A.,Individualizado,IND · ETE ILHA DO GOVERNADOR,-22.7951971,-43.1865692
LABORATÓRIO ETE PAVUNA,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Laboratório,2821.3,Sim,Regenera Rio S.A.,Individualizado,IND · LABORATÓRIO ETE PAVUNA,-22.8055273,-43.3055317
BASE EEAT JURAMENTO,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,130.2,Sim,VALCIR TADEU PRIMO DA SILVA,Agrupado,AGR · RJ Rio Norte (Rio Norte/B4),-22.858292,-43.3068173
ETE PENHA,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Estação de Tratamento de Esgoto,939.5,Sim,Ciclus Ambiental Rio S.A.,Individualizado,IND · ETE PENHA,-22.8335042,-43.2694305
ETE PAVUNA,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Estação de Tratamento de Esgoto,2829.3,Sim,Regenera Rio S.A.,Individualizado,IND · ETE PAVUNA,-22.8081825,-43.3036695
BASE OPERACIONAL PENHA,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,5609.8,Sim,VALCIR TADEU PRIMO DA SILVA,Individualizado,IND · BASE OPERACIONAL PENHA,-22.8316553,-43.2722961
BASE OPERACIONAL ILHA DO GOVERNADOR,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,283.3,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Rio Norte (Rio Norte/B4),-22.8059404,-43.2000505
BASE OPERACIONAL MÉIER,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,1920.0,Sim,VALCIR TADEU PRIMO DA SILVA,Individualizado,IND · BASE OPERACIONAL MÉIER,-22.89264,-43.2826211
BASE OPERACIONAL CAMPINHO,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,1685.5,Sim,TORRES E SILVA TERRAPLANAGEM EIRELI,Individualizado,IND · BASE OPERACIONAL CAMPINHO,-22.8824803,-43.3556969
ETE PAVUNA VALO OXIDAÇÃO,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Estação de Tratamento de Esgoto,2829.3,Sim,Regenera Rio S.A.,Individualizado,IND · ETE PAVUNA VALO OXIDAÇÃO,-22.8133638,-43.3773124
BASE VCG BONSUCESSO,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,37.8,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Rio Norte (Rio Norte/B4),-22.8686024,-43.2627471
EEE BICA,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8183392,-43.1880432
EEE FARIA TIMBÓ,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8820918,-43.2877723
EEE FUNDÃO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8579044,-43.2340271
EEE PARANAPUÃ,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.802330146260587,-43.18193031896954
EEE SÃO BENTO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8174213,-43.217533
EEE ZUMBI I,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8196759,-43.1770802
LOJA DE ATENDIMENTO MÉIER,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Loja,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8909102,-43.2830415
LOJA DE ATENDIMENTO CAMPINHO,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Loja,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8827168,-43.3474801
LOJA DE ATENDIMENTO ILHA DO GOVERNADOR,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B4,Loja,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B4),-22.8099118,-43.1954027
